name	size_bytes	size_hex	type	addr
vid	3670048	380020	B	80afbb84
gc_gcmap_bootstrap_entities	768000	bb800	b	8082d324
cl	652944	9f690	B	8071c8d0
sv_	637968	9bc10	B	8053ad58
s_knownSfx	524288	80000	b	808fa4b0
gpMove.14	325072	4f5d0	b	807d0ee0
gpMove.32	325072	4f5d0	b	804d57ec
r_images	319488	4e000	b	809f7cc4
net	295756	4834c	b	80464b08
gx_fifo	262144	40000	b	806597a0
r_leafkeys	262144	40000	B	80abbb38
clgame	259880	3f728	B	806c46a0
mod_known	200704	31000	b	80429848
g_studio	180320	2c060	b	80a64998
gc_avi_static_frame	153600	25800	b	806997e0
gc_cinematic_pixels	153600	25800	b	80e82ae0
gc_gcmap_static_viewbuffer	153600	25800	b	809a1b10
gc_gcmap_static_zbuffer	153600	25800	b	809c7310
gc_probe_rgb565	153600	25800	b	805ec980
gc_tiled_rgb565	153600	25800	b	80612180
gc_lowres_surfcache_store	131104	20020	b	80a90a20
gc_rgb565_to_sw	131072	20000	b	80ea82e0
s_mainStack	131072	20000	b	80eddc00
cls	101128	18b08	B	80703dc8
gc_studio_bss	86016	15000	b	804147e0
gc_newgame_cap_faces	62720	f500	b	806489a0
con	56972	de8c	b	807c2c04
gc_zip_inflate_scratch	49152	c000	b	80ecf504
__compound_literal.0	48640	be00	b	8097a580
frame_ents.1	44548	ae04	b	804c668c
gc_gcmap_bootstrap_packet_entities	43520	aa00	b	80822924
blocklights	40960	a000	b	80ab0a50
fatal_panel.36	38400	9600	b	805d9cf4
gc_loading_bg	38400	9600	b	805e3340
svs_	33480	82c8	B	80532a90
msg_buf.2	33280	8200	b	804b7b70
ispow	32828	803c	b	809998c0
net_message_buffer	32816	8030	B	8045c848
cmd_text	32772	8004	b	803de0e8
filteredcmd_text	32772	8004	b	803d60e4
gc_parent_stack.14	32768	8000	b	803f8a6c
r_gx_tex_world_pool	32768	8000	b	809ef8c0
celt_encode_with_ec	26436	6744	T	80234de8
gc_newgame_draw_surfs	25600	6400	b	806425a0
voice	25200	6270	B	8098ee38
xrcon	24720	6090	b	804b1ad8
gc_probe_edges_store	24672	6060	b	80a4f940
gc_probe_surfaces_store	24672	6060	b	80a498e0
gc_singleplayer_frames	24512	5fc0	b	804c06a0
tonemasks	22848	5940	d	80359280
