section	size_bytes	size_hex	addr	offset	align
.init	160	a0	80003100	80003100	0
.text	3129568	2fc0e0	800031a0	800031a0	0
.rodata	447188	6d2d4	802ff280	802ff280	0
.sdata2	82	52	8036c554	8036c554	0
.eh_frame_hdr	39100	98bc	8036c5a8	8036c5a8	0
.eh_frame	346544	549b0	80375e64	80375e64	0
.gcc_except_table	60	3c	803ca814	803ca814	0
.ctors	24	18	803ca850	803ca850	0
.dtors	16	10	803ca868	803ca868	0
.data	45016	afd8	803ca878	803ca878	0
.sdata	368	170	803d5850	803d5850	0
.sbss	1192	4a8	803d59c0	803d59c0	0
.bss	11751800	b35178	803d5e68	803d5e68	0
.comment	74	4a	0	0	0
.gnu.attributes	18	12	0	0	0
.debug_aranges	61208	ef18	0	0	0
.debug_info	7304749	6f762d	0	0	0
.debug_abbrev	519070	7eb9e	0	0	0
.debug_line	3885057	3b4801	0	0	0
.debug_frame	288	120	0	0	0
.debug_str	408322	63b02	0	0	0
.debug_line_str	542	21e	0	0	0
.debug_loclists	3860129	3ae6a1	0	0	0
.debug_rnglists	516409	7e139	0	0	0
